filename,description
001.jpg,An evil ostritch has captured the burg: be careful who you trust, even your close ones may be out to get you
002.jpg,Cuddles from triple decker jucs: find joy in friendship today
003.jpg,A nugget sleeps: you could use a good nap
004.jpg,A nugget takes flight: don't be afraid to show your love and appreciation
005.jpg,A fry through a looking glass: WOW your skin is glowing - keep up the skincare routine
006.jpg,A fry practicing her pose for when she ascends to the heavens: practice makes perfect
007.jpg,Burger's post road trip treat: treat yourself to a healthy snack today
008.jpg,A naked burger getting ready to shower: take a hot shower to decompress 
009.jpg,A nugget ready for her luau: a cute fit and some good food can fix anything 
010.jpg,Triple decker on the beach: hard times come and go like the waves - its ok to take a step back on the calm sand 
011.jpg,All packed up: wherever you may go today remember to pack accessories
012.jpg,A nugget on the beach: careful not to get sunburned - wear a hat!
013.jpg,KOH the face stealer: show no fear - show no emotional at all
014.jpg,Nigiri Time: every day is a good day for some sushi 
015.jpg,All dripped up: Jilly got a new outfit and so can you! Go treat yourself
016.jpg,Literary Queen: try to learn something new today
017.jpg,Stocking stuffers gone wrong: do you know that story about the girl whose hand got stuck in a cookie container? Don't be greedy!
018.jpg,Finals Week Flashbacks: Jilly got boiling crab every time she had finals - whats your stress meal? 
019.jpg,Burrito vs Lavash: break some bread with your friends today - it doesn't matter what kind!
020.jpg,A fry awoken in the night: your rest is important - look how tired fry looks
021.jpg,Pancake face: dont gnjir! Get up and stretch instead - face stretches too!
022.jpg,Princess Fry can't seem to find her wand: remember to always say your magic words - please and thank you!
023.jpg,One in a million: Never be afraid to stand out!
024.jpg,Fry loves a bougie wine and cheese night: the best gossip is said to be shared over wine - spill some tea today!
025.jpg,Jilly's favorite market: Take a trip to trader joes (you never know when their new totes will be dropping)
026.jpg,Dragonfruit Smoothie: Jamba juice is so refreshing on a warm LA day
027.jpg,Buckle Up: Watch your posture! You don't want to look like Fry on the way to the chiropractor 
028.jpg,A fry is also bird with no neck: get crafty today - maybe an origami crane? 
029.jpg,I heart my emby: Jilly loves her emby - give some love to family today
030.jpg,Bingsu Time: ktown never disapoints - matcha, bingsu, bulgogi, kbbq and karaoke? What more do you need!
031.jpg,Fry and her iconic side eye: trust your instinct - your intuition is strong
032.jpg,Jilly's first birthday dinner: make sure you're not forgetting anyone's birthday coming up
033.jpg,Jilly's mental health day: its okay to need a day to reset 
034.jpg,Tipsy Fry Cup Hands:Try telling a funny joke - everyone loves some silly goofy
